n,x,y
346,421311,4564854
347,421760,4564612
348,420992,4564104
349,421800,4564083
350,417738,4562924
351,418131,4562764
352,418504,4562781
353,418723,4562779
354,419198,4563223
355,420042,4563205
356,419196,4562759
357,420027,4562737
358,420127,4562311
359,420982,4563635
360,421763,4563622
361,420937,4563011
362,421763,4563034
363,417292,4561853
364,417270,4560774
365,418094,4562102
366,418607,4562075
367,417670,4561503
368,418143,4561486
369,418484,4561567
370,419211,4562284
371,419121,4561577
372,419606,4561820
373,420099,4561658
374,420789,4562261
375,421652,4562163
376,420836,4561573
377,418288,4560741
378,418884,4560944
379,418897,4560592
380,419442,4560701
381,419861,4560750
382,420196,4560576
383,420708,4560466
384,420775,4559416
385,421636,4560183
386,416015,4560134
387,416689,4560346
388,415733,4559235
389,417478,4559907
390,418093,4560085
391,418172,4559831
392,417389,4559123
393,418201,4559330
394,419008,4559845
395,418808,4558905
396,419686,4559341
397,420062,4559530
398,420187,4558815
399,414512,4556986
400,414860,4558974
401,415780,4557325
402,415275,4556513
403,416050,4558689
404,416681,4558560
405,417879,4558579
406,417184,4557964
407,417744,4557996
408,418449,4558038
409,417691,4556906
410,418484,4557379
411,419113,4557571
412,419613,4556494
413,420963,4555878
414,421071,4554913
415,420003,4558085
416,420787,4557127
417,421608,4558048
418,421734,4556723
419,422719,4556192
420,423680,4555313
421,422016.15117,4574675.06299
422,422726.87624,4565500.1397
423,424697.28881,4554295.6381
424,404323,4555518
425,405344,4553221
426,407240.41575,4551484.45025
427,407667,4550028
428,406725.88764,4555520.46867
429,408397,4555288
430,406437,4554215
431,408245.9397,4553666.0418
432,408263.20999,4554408.66441
433,410030,4555916
434,409900,4555262
435,409876,4554385
436,409886,4553700
437,411094.57097,4556022.36609
438,411874,4555950
439,411072.46499,4555230.97216
440,411872.70131,4555213.28738
441,411885.96489,4554395.36629
442,411068.0438,4554404.20868
443,411072.46499,4553634.92073
444,411868.28011,4553599.55117
445,412721.57077,4555244.23575
446,413530.04989,4552059.09782
447,412637.56806,4555911.83621
448,413490,4555882
449,413484,4555206
450,412686.20121,4553564.18161
451,412672.93762,4554373.26031
452,413479,4554416
453,413450,4553594
454,412802,4552817
455,413566,4552761
456,412698.60251,4551933.9636
457,408315,4552881
458,409824,4552830
459,408442,4551604
460,409845.2808,4551242.26407
461,409835.28642,4552016.82873
462,409814,4549987
463,411076.88619,4552825.84203
464,411837.33175,4552786.05127
465,411397,4552001
466,411369,4551186
467,411362,4549959
468,413301,4550194
469,414280,4552339
470,414197,4551195
471,414911,4551214
472,414831,4550206
473,415572,4550234
474,414179,4555245
475,414389,4553856
476,414705,4552576
477,414935,4553683
478,417275,4553650
479,416188,4551166
480,417374,4551816
481,418931,4554980
482,421477,4553717
483,420404,4551600
484,421467,4551798
485,423081,4553747
486,423940,4553806
487,422473,4553044
488,423063,4551793
489,424031,4552452
490,408295,4548422
491,409364,4546667
492,410113,4548754
493,411370,4548783
494,411337,4548020
495,411753,4547191
496,412972,4548708
497,414588,4548776
498,412963.81505,4547947.05306
499,414556,4547973
500,412897,4547191
501,414637,4547207
502,412926,4546349
503,414777,4546416
504,416054,4548377
505,416753,4548658
506,412875,4544874
507,414750,4545485
508,416166,4546362
509,416077.38632,4545337.31044
510,416036.80091,4544195.75575
511,417353,4545011
512,417430,4546480
513,417871,4546803
514,417879,4545500
515,418844,4545086
516,417100,4543001
517,418158,4544095
518,419456,4543939
519,418806,4542915
520,419836,4542750
521,418736,4541445
522,419619,4540750
523,420653,4540495
524,416754,4550456
525,417786,4550035
526,416803,4549694
527,417756,4548432
528,418887,4549870
529,420142,4549879
530,418770,4548382
531,419781,4548479
532,421548,4549962
533,422734,4549676
534,422175,4548715
535,421379,4548109
536,423963,4548959
537,423961,4546526
538,418673,4547102
539,419254,4546558
540,419403,4545629
541,419903,4546662
542,421250,4546857
543,420077,4545244
544,422283,4545792
545,420638,4544062
546,422179,4544758
547,422742,4543954
548,420652,4542845
549,421753,4542967
550,422996,4543135
551,422552,4542311
552,422978,4541513
553,424059,4543010
554,421346,4541806
555,421995,4540526
556,422943,4540085
557,423419,4538782
558,423934,4540347
559,424697,4539951
560,424214,4538704
561,425268,4538594
562,424682,4537672
563,421463,4538203
564,422687,4538317
565,423859,4537531
566,421897,4536381
567,423098,4536076
568,424156,4536227
569,422115,4534713
570,425530,4537564
571,425124,4536651
572,425956,4536720
573,425321,4535749
574,426126,4535787
575,423494,4534621
576,424522,4534596
577,424339,4532293
578,425475,4534621
579,425423,4533130
580,426210,4533184
581,425261,4532016
582,425671,4531946
583,426427,4531745
584,423758,4530743
585,424624.2425,4530191.83661
586,424637.29538,4530787.91807
587,422770,4529503
588,423954,4529250
589,425161,4530811
590,425727,4530904
591,426269,4530775
592,425186,4529954
593,425704,4529898
594,426255,4529879
595,425186,4529118
596,425702,4529128
597,426222,4529118
598,426926,4530136
599,421409,4527939
600,422676,4527947
601,423583,4528084
602,424356,4528105
603,422376,4526894
604,423798,4526816
605,425116,4528175
606,425662,4528107
607,426200,4528063
608,424650,4526851
609,425116,4526851
610,425606,4526851
611,426180,4526851
612,426955,4528017
613,427743,4527975
614,426875,4526837
615,427603,4526762
616,428592,4527047
617,419739,4524693
618,421182,4524941
619,422438,4525803
620,421870,4524523
621,422614,4524585
622,423621,4525745
623,424238,4525872
624,423578,4524566
625,424155,4524855
626,424604,4525100
627,425192,4525845
628,426076,4525910
629,425788,4525158
630,426739,4525607
631,427776,4525416
632,425441,4524197
633,426239,4524302
634,424610,4523466
635,425691,4523587
636,427442,4524456
637,427151,4523625
638,429028,4525164
639,428426,4523313
640,420160,4522488
641,421069,4522559
642,420787,4521197
643,421987,4522925
644,422732,4522967
645,421935,4521174
646,421764,4520331
647,423580,4522905
648,424021,4522637
649,423720,4521975
650,425329,4522456
651,424509,4521887
652,423210,4520383
653,424246,4520646
654,426465,4521034
655,408726,4519896
656,407835,4518386
657,409363,4518683
658,407623,4516139
659,409027.5482,4517179.75029
660,410773,4517442
661,411805,4518171
662,412451,4515956
663,414548,4516031
664,407784.86674,4514542.1675
665,409092.98219,4514926.29664
666,410417,4515909
667,410580,4514510
668,412295,4514369
669,414340,4514556
670,399413,4509957
671,403830,4513259
672,407251,4512978
673,403978,4509881
674,407494,4510155
675,409147,4513433
676,411085,4513487
677,409338,4512423
678,411323,4512407
679,409534,4511083
680,411516,4511089
681,409405,4509705
682,410992,4509239
683,412234,4509779
684,409365,4508417
685,410872,4508466
686,399035,4508605
687,402359,4508052
688,399311,4507289
689,400926,4507108
690,403881,4506952
691,405958,4507158
692,405452,4506259
693,403621,4505324
694,405334,4505282
695,406952,4507757
696,406936,4506867
697,406962,4506087
698,407331,4505331
699,408214,4507517
700,409575,4507760
701,409355,4507296
702,408200,4506777
703,409308,4506731
704,408152,4506082
705,409252,4506035
706,411649,4508003
707,410942,4507277
708,412230,4507280
709,411037,4506681
710,412349,4506791
711,410989,4506059
712,412385,4506041
713,405763,4504080
714,405954.90254,4503136.5557
715,406901,4504698
716,407099,4503114
717,408192,4505426
718,409208,4505305
719,409941,4505045
720,408145,4504980
721,409177,4504658
722,408259,4504364
723,410989,4505213
724,410989,4504626
725,410914,4504260
726,412436.02447,4504894.73239
727,412315.36528,4503739.85162
728,409068,4503545
729,408529,4502683
730,411377,4503819
731,410946,4503127
732,412227,4502933
733,409397,4501490
734,411074,4501627
735,412037,4502000
736,416690,4519597
737,419177,4520276
738,420280,4519239
739,421207,4518365
740,421896,4518549
741,417079,4517585
742,417363,4514955
743,416256,4513542
744,417335,4513440
745,419347,4516937
746,419299,4514657
747,419407,4513394
748,420260,4516526
749,420901,4517049
750,420864,4515620
751,421744,4517052
752,421472,4516375
753,422234,4516352
754,421480,4515528
755,422413,4515479
756,420319,4515101
757,420314,4514309
758,420318,4513535
759,421170,4514196
760,421517,4514669
761,422436,4514623
762,422069,4514035
763,422503,4514060
764,422815,4514035
765,421298,4513487
766,422102,4513447
767,422494,4513418
768,422846,4513690
769,422801,4513363
770,412852,4512752
771,413970,4512676
772,415686,4512745
773,413225,4511130
774,414288,4511545
775,414249,4510768
776,415771,4511364
777,417781,4512695
778,419341,4512708
779,420274,4512310
780,417493,4510983
781,418738,4511690
782,418894,4510857
783,420237,4511028
784,421302,4512806
785,421109,4511951
786,421779,4511940
787,422329,4512764
788,422539,4511906
789,421071,4510906
790,421845,4510913
791,422482,4510902
792,422958,4510898
793,423288,4510869
