n,x,y
5321,420425,4482521
5322,418099,4490030
5323,425279.29654,4483703.51615
5324,413119.34232,4577005.70153
5325,419572,4508535
5326,425305,4485763
5327,428535,4484850
5328,426710,4485463
5329,418197,4488608
5330,428065.60121,4513256.22885
5331,420458,4483710
5332,423932,4481731
5333,425062.95892,4483084.74401
5334,424036.67324,4501510.33188
5335,417288.14715,4488610.91449
5336,417626,4488611
5337,433183,4496957
5338,417283,4490578
5339,430785,4488057
5340,429873.33084,4487888.18687
5341,417298,4491838
5342,414356.06982,4486233.48217
5343,423201,4539235
5344,418103,4487802
5345,425841,4482590
5346,419035,4503152
5347,426722,4483240
5348,409691.46413,4572387.41829
5349,427965.55468,4484126.85554
5350,409614,4500194
5351,427756.70339,4483954.15159
5352,412608,4499148
5353,411676.3446,4499162.35677
5354,412607,4495913
5355,414981,4499988
5356,423882,4490188
5357,424061.7987,4490187.49263
5358,419683,4509048
5359,413358.0158,4497819.2443
5360,430877,4495755
5361,423817,4512209
5362,415444.46457,4499116.7797
5363,420230,4500676
5364,423827,4513299
5365,423823,4512819
5366,423836,4514026
5367,423841,4514263
5368,423838,4514508
5369,423848.2969,4515237.3119
5370,423980.22887,4515849.03571
5371,426626,4484682
5372,426652.2014,4484938.16246
5373,424451,4499500
5374,426337,4500028
5375,420060,4507335
5376,410321,4573203
5377,432111,4494624
5378,414132.05881,4493510.78116
5379,419898,4507249
5380,416841,4513108
5381,410832,4496751
5382,418347,4484568
5383,411739,4495926
5384,419750,4505648
5385,416076,4493480
5386,417313,4493450
5387,412856.66778,4493520.81143
5388,431454,4495574
5389,417379,4495554
5390,415297.45782,4485423.10823
5391,410307.16676,4486585.96749
5392,417423,4497471
5393,431605,4495500
5394,417405,4499089
5395,417049,4500698
5396,417039,4502312
5397,417054,4503918
5398,417140,4505534
5399,417212,4506341
5400,423211,4501083
5401,427718.54787,4485546.64265
5402,422029,4502770
5403,422907,4488571
5404,429339,4486482
5405,422455.31292,4504417.02905
5406,429343.16989,4486904.176
5407,422527.33604,4504746.27763
5408,428937.51643,4488068.92355
5409,422537,4506320
5410,429499,4488021
5411,427782.8098,4486978.47886
5412,427740.63791,4487663.2701
5413,427737,4488520
5414,427752,4489606
5415,429068,4491219
5416,427712.52331,4484883.94145
5417,429124,4491713
5418,418902,4488595
5419,420511.59114,4488578.8768
5420,421320.95813,4488567.33436
5421,419720,4505486
5422,425018.69258,4488548.61223
5423,426162.02662,4488537.38473
5424,431917,4489171
5425,411610.86701,4486615.97426
5426,432010,4491025
5427,431617,4495406
5428,426198,4493399
5429,432655,4495203
5430,426728.39051,4493386.99114
5431,427054.25379,4492553.00208
5432,429678,4494939
5433,418172,4496563
5434,418999,4497464
5435,418182,4497471
5436,420604,4497451
5437,418193,4498238
5438,428483,4495505
5439,419545,4497456
5440,421412,4497446
5441,422433,4497338
5442,420199,4507567
5443,413107.38133,4577109.83256
5444,419601,4505479
5445,423351.3156,4513794.9339
5446,430462,4496131
5447,419662,4505676
5448,425958.06032,4488541.12723
5449,425690,4490156
5450,419705,4505628
5451,425182,4493413
5452,423973.77923,4514991.2203400005
5453,411610.7564,4487164.29175
5454,427385.4938,4497547.92769
5455,423920,4498374
5456,424036,4499506
5457,424407,4500922
5458,424186.05362,4503010.57189
5459,431418.41425,4508194.76077
5460,424333,4505821
5461,419765,4505662
5462,431242,4497337
5463,430327,4487644
5464,421866,4486242
5465,429211.66069,4499270.87815
5466,423811,4511369
5467,419588,4505340
5468,423819,4512577
5469,423826,4513062
5470,423834,4513788
5471,419599,4502140
5472,410349.89233,4493544.19269
5473,407210,4491173
5474,410101.26662,4490100.0728
5475,409349.17325,4487950.22363
5476,423010.51447,4504783.80761
5477,419655,4502242
5478,415443.77878,4487838.51288
5479,411593,4485302
5480,426405,4531257
5481,420099,4513263
5482,425002.43901,4531265.70648
5483,423203,4528791
5484,424032,4528786
5485,424044,4529519
5486,423623,4539237
5487,427129,4497766
5488,427175,4497921
5489,425970,4528756
5490,425980,4529481
5491,423701,4539239
5492,423332,4537170
5493,426526,4528753
5494,426538,4529472
5495,420582,4499588
5496,412883,4487867
5497,423191,4527392
5498,420486,4499700
5499,424014,4527385
5500,424476,4527361
5501,410801.08116,4487894.59777
5502,427660,4495771
5503,424679,4527373
5504,424843,4527379
5505,424860,4528022
5506,425399,4527359
5507,428098.09492,4486490.4898
5508,417282,4487814
5509,423912,4538536
5510,425812,4527329
5511,422207.254,4513080.1153
5512,424638,4498243
5513,425962,4527885
5514,427025,4498095
5515,429550,4498244
5516,426512,4527333
5517,419479,4513112
5518,427297,4527353
5519,427666,4527353
5520,410959,4503994
5521,429447,4498385
5522,425341,4537516
5523,418891.61192,4487786.91774
5524,421707,4495735
5525,411976,4487872
5526,410710.84829,4485010.80796
5527,431451,4498920
5528,412394.446,4484640.51734
5529,412024.81902,4497529.6041
5530,424313,4513538
5531,424308,4513296
5532,424308,4513055
5533,424306,4512813
5534,424302,4512574
5535,424300,4512332
5536,424294,4512091
5537,413293,4491724
5538,421388,4483310
5539,422629,4483312
5540,414414.12346,4484616.68841
5541,432741,4503971
5542,413467,4510431
5543,415709,4495592
5544,417238,4484576
5545,411806,4506402
5546,417229,4482554
5547,413337.13737,4494160.64395
5548,417267,4486184
5549,411589.64525,4484653.13049
5550,426082.72978,4494026.38865
5551,418861,4484560
5552,420469,4484537
5553,426888.5606,4493248.91349
5554,417273,4486704
5555,416666,4488621
5556,411592.72106,4487897.72878
5557,416515,4492223
5558,416514,4491875
5559,424766,4484107
5560,426960.36098,4492773.92634
5561,416524,4493476
5562,429016,4494126
5563,416515,4492711
5564,416995,4493466
5565,416529,4493773
5566,418154,4495459
5567,429145,4493950
5568,418139,4493442
5569,418945,4493102
5570,432672,4504213
5571,417468,4495865
5572,432478.64103,4494495.61103
5573,419760,4494122
5574,422600,4486633
5575,423109,4486911
5576,419791,4495846
5577,420303,4497449
5578,420610,4498155
5579,419741,4491810
5580,419735,4491254
5581,419350,4491814
5582,427256,4486760
5583,427831.00625,4486627.04641
5584,421277,4484939
5585,429178,4493633
5586,421301,4486773
5587,422071.20304,4490384.25495
5588,422381,4491649
5589,420957,4493417
5590,428005,4508170
5591,427953,4508146
5592,421963,4493402
5593,411815,4507051
5594,416866,4512856
5595,425390.28515,4495787.30647
5596,427027.26025,4495775.0705
5597,432674,4504319
5598,432420.80041,4493530.4972
5599,430592,4497345
5600,432938,4496825
5601,431721,4495160
5602,429616,4494124
5603,422901,4487560
5604,422898,4486985
5605,411578.69358,4489448.14152
5606,423210,4486622
5607,422912,4488027
5608,432949.74934,4493202.66035
5609,430203,4487882
5610,431133.11412,4488136.01109
5611,431229.62355,4488407.66725
5612,429008.44833,4490406.98517
5613,431749,4489010
5614,428952.32446,4490813.57299
5615,427784,4491285
5616,424980,4490171
5617,426176,4491572
5618,424573.80202,4489363.95114
5619,432714,4504267
5620,426151,4489334
5621,426613,4489334
5622,426952,4489330
5623,427389,4489325
5624,427745,4489320
5625,426934,4487518
5626,432672,4506472
5627,426946,4488532
5628,426950,4489040
5629,426963,4489774
5630,426662,4490141
5631,429085.65849,4488509.5703
5632,429657,4488766
5633,428548.59903,4489268.82271
5634,429338.25598,4489614.78628
5635,429573.95069,4488398.7312
5636,431403,4507308
5637,427739,4488905
5638,424274,4537731
5639,424654,4538183
5640,425435,4530425
5641,430396,4507093
5642,425428,4529487
5643,425419,4528768
5644,430524,4507278
5645,425406,4527995
5646,423195,4527905
5647,428549.93664000003,4487709.45836
5648,429751.24208,4487429.3476
5649,407814.12663,4486980.84228
5650,425014.51217,4521343.25623
5651,426372,4523084
5652,426904,4522522
5653,408749,4485257
5654,428515.79749,4484450.1734
5655,425734,4529483
5656,424554,4488959
5657,426143,4488830
5658,425336.80516,4488546.74098
5659,419786,4513135
5660,426226,4487911
5661,426502,4488529
5662,427383,4488525
5663,427740.63791,4487870.1132
5664,425290.9276,4484457.20853
5665,426237,4484121
5666,431663,4507628
5667,425024,4483706
5668,425009.45606,4483170.81382
5669,412509.63109,4487163.72242
5670,425716.62422,4483696.53752
5671,428369.19995,4484211.19933
5672,431541,4507644
5673,428619.03862,4481711.58156
5674,427172.32143,4484926.11335
5675,429323.08803,4486004.50893
5676,413203.70514,4484634.1045
5677,412986,4485333
5678,425051,4481996
5679,412503.23111,4486607.49084
5680,425937.61427,4482503.19125
5681,426719.22118,4482821.88216
5682,425642,4486603.76187
5683,427459.49195,4483699.11204
5684,426961.14713,4483682.58025
5685,412521.7629,4487872.98541
5686,433216,4492133
5687,416617.84836,4503063.59531
5688,414593,4499132
5689,407272.05645,4505647.54264
5690,406203.0249,4506000.93285
5691,414818.99502,4498315.4661
5692,431588,4507736
5693,414955.29629,4497663.77566
5694,414957,4497503
5695,414963,4496885
5696,414950,4495889
5697,413340.97814,4497521.08527
5698,413894.70204,4497516.82586
5699,414333.42175,4497512.56645
5700,414948,4495121
5701,414937,4493494
5702,424461,4505003
5703,431829,4507462
5704,424724,4506926
5705,415632,4495880
5706,416638,4486181
5707,416726,4484578
5708,424486.88694,4506910.61048
5709,418372,4482550
5710,417236,4483770
5711,417635,4487806
5712,418139,4493054
5713,418129,4491832
5714,418125,4491254
5715,418118.88209,4490609.77098
5716,418523,4491828
5717,419699.88831,4480647.03008
5718,424480.22517,4506254.42576
5719,424552,4485897
5720,424575,4486921
5721,425814.98483,4489347.40203
5722,420023.32026,4487779.17957
5723,419715,4489691
5724,419708,4488584
5725,420782,4488581
5726,422270,4488564
5727,423659,4493413
5728,423756,4491811
5729,423751.80334,4491382.40906
5730,423369,4492892
5731,413826,4508851
5732,423904,4488561
5733,432939.47157,4492578.72883
5734,419734,4491034
5735,419767,4494911
5736,420582,4495038
5737,419785,4496608
5738,419798,4497452
5739,431673,4507636
5740,419809,4499073
5741,421180,4499818
5742,426865.64166,4497182.46772
5743,426244,4497518
5744,432259.65489,4498536.64705
5745,423908,4497560
5746,426298,4483062
5747,427670.6415,4483389.47766
5748,423491.15401,4504808.36583
5749,420706,4508753
5750,422599,4510846
5751,420770,4483719
5752,420433.63722,4482699.95095
5753,431987,4507207
5754,427862,4506767
5755,430841.15623,4509337.70212
5756,411045,4515381
5757,426715,4512074
5758,426717,4512312
5759,416525,4513263
5760,423361,4514273
5761,423566,4522327
5762,424468,4505813
5763,425023,4532464
5764,417243,4483953
5765,428466,4512556
5766,428933.75648,4513872.87991
5767,432049,4489385
5768,427322.93534,4483715.17753
5769,427700.4742,4484038.49538
5770,424728,4526292
5771,431793,4507234
5772,433407,4491718
5773,407786,4507755
5774,428012,4508150
5775,428636,4502071
5776,430721.42237,4501783.84026
5777,429424,4501350
5778,428040,4508025
5779,427728,4498557
5780,429459,4498414
5781,429473,4498213
5782,426777,4499388
5783,426847,4502615
5784,423700,4500813
5785,428449.37801,4513621.3757
5786,428452,4513575
5787,416556,4495868
5788,427139,4498050
5789,416493,4513284
5790,419505,4508859
5791,413237.34559,4487106.4433
5792,412510,4488278
5793,412521,4490401
5794,413887,4487102
5795,413472.5076,4486558.41355
5796,409952.14224,4489367.62373
5797,410830.89078,4490107.75305
5798,412908.47952,4489527.68424
5799,416489,4489669
5800,414908,4490645
5801,434103,4491546
5802,414541.98357,4487846.69243
5803,431961.77414,4492234.43445
5804,412328,4489021
5805,415004,4484611
5806,424200,4486014
5807,416333,4490643
5808,416503.83444,4490647.46152
5809,416483,4488631
5810,416473,4487811
5811,415300,4488686
5812,416372,4486195
5813,416337.80679,4484593.5587
5814,414522.46032,4488561.05754
5815,424610,4483709
5816,431333,4492092
5817,412286.33006,4489297.84704
5818,409893,4515649
5819,422959.00557,4483567.39488
5820,421382,4494963
5821,419844,4508847
5822,419746,4508476
5823,419502,4508544
5824,419658,4508888
5825,419853,4508698
5826,419835,4508622
5827,419475,4508688
5828,419767,4505547
5829,419596,4505664
5830,419689,4505555
5831,419759,4505489
5832,419969,4505486
5833,423406,4508753
5834,423557,4508768
5835,423714,4508785
5836,423798,4508727
5837,409462,4516375
5838,412281,4556012
5839,423303,4498808
5840,423366,4498896
5841,423613,4498696
5842,423610,4498439
5843,414669.72286,4501989.86102
5844,430229.67411,4489004.2803
5845,431134,4489284
5846,429079,4513703
5847,429052.98811,4513897.09884
5848,430895,4489300
5849,413008,4507184
5850,413496,4513970
5851,413489,4513632
5852,413466,4509933
5853,423819,4512336
5854,423816,4512092
5855,423627,4510584
5856,424596,4484230
5857,423572,4510853
5858,411519.40631,4499162.69958
5859,421285.42814,4506308.2896
5860,422851.78157,4497372.178
5861,422656.60134,4497134.70873
5862,422477.68614,4496711.81824
5863,422536.24021,4495914.83233
5864,422532.9872,4495332.54466
5865,422842.02256,4494597.36582
5866,422335,4480374
5867,423215.10646,4481775.4285
5868,422947.3573,4490195.32122
5869,423467,4498859
5870,423543,4498050
5871,423600,4497696
5872,423581,4497564
5873,423518,4497220
5874,423407,4496885
5875,412307,4556843
5876,412315,4558016
5877,423571,4481380
5878,422768.41853,4479910.29716
5879,422686,4479673
5880,414366.19928,4544968.04406
5881,424335.59741,4533994.88792
5882,416709.95033,4542812.1533
5883,415367.95899,4544719.2764799995
5884,416968.67172,4544592.20469
5885,418368.92977,4545088.93315
5886,418477.86007,4545132.50527
5887,418843.86589,4545337.29423
5888,419116,4511398
5889,413396,4503239
5890,421116.69611,4479684.6129
5891,419024,4501511
5892,415295,4486220
5893,415314.56521,4484608.66118
5894,417325,4495868
5895,417633,4493462
5896,416827,4490596
5897,417816.5073,4490609.77098
5898,418852,4484106
5899,420460,4483797
5900,417022,4499097
5901,412469,4500764
5902,426001.27894,4487727.13108
5903,411759,4501601
5904,411770,4503173
5905,413337,4495111
5906,413325.53267,4493519.48468
5907,413404,4492361
5908,411713.53144,4493541.24109
5909,412447,4497530
5910,412221,4495920
5911,413338,4496849
5912,414070,4492230
5913,411035,4491107
5914,416719.33406,4482239.26602
5915,417231.0544,4483356.92384
5916,419661,4484549
5917,421573.86805,4480057.38387
5918,415655.87331,4491966.27283
5919,413653.75276,4491958.25923
5920,424466,4486007
5921,419065,4505948
5922,418263.18115,4505939.13162
5923,417855,4506340
5924,417846,4505540
5925,417454.4359,4505943.41069
5926,418674,4505531
5927,418616,4500694
5928,418213,4499942
5929,424050.74435,4491374.51478
5930,410200,4571941
5931,424003,4484338
5932,412337.50249,4499147.17128
5933,423750.49396,4484117.47194
5934,417406,4496180
5935,417471,4499094
5936,417343,4499094
5937,407790,4508030
5938,414688,4508800
5939,415381,4508799
5940,415383,4508816
5941,414679,4508826
5942,415012.98697,4508033.05163
5943,415056,4508703
5944,415059,4508929
5945,422569,4479225
5946,422592.59929,4478293.19187
5947,412319.9729,4558463.5672700005
5948,422933,4480236
5949,410157,4504207
5950,417417,4498779
5951,410162,4504583
5952,409151.65577,4571485.7226
5953,423169.63935,4483791.37812
5954,416317.13065,4485443.47231
5955,417399,4495852
5956,412932,4568075
5957,410501.00712,4505604.09167
5958,410174,4505192
5959,414064,4565576
5960,410189,4506006
5961,423963.74662,4485126.744
5962,411971,4565876
5963,411014.22941000003,4565317.19142
5964,410393,4506411
5965,415902,4484595
5966,410616,4506941
5967,407789,4508070
5968,423591,4510069
5969,416167.76424,4486201.61999
5970,416165.50112,4485773.88891
5971,410187,4508045
5972,409124,4512061
5973,410187,4508076
5974,413470.27675,4511047.11101
5975,413156.6187,4577143.5361
5976,423868,4553284
5977,407600,4512060
5978,425690.4715,4488544.86973
5979,407581,4512314
5980,404388,4512420
5981,425707,4489341
5982,413436.47132,4507988.28389
5983,410499,4510464
5984,409908,4510474
5985,413426,4506938
5986,413365.7378,4499546.88397
5987,402570,4511828
5988,402506,4509693
5989,415901,4485010
5990,411487,4566412
5991,414310,4552686
5992,410857.78542,4566125.35283
5993,414348,4552692
5994,409993,4565341
5995,413516.93898,4508863.90941
5996,413306.74186,4508952.41346
5997,408842,4565352
5998,409231,4565761
5999,410899,4567416
6000,414002.93518,4562611.24916
6001,412374.45906,4561653.58946
6002,412913.46255,4561175.99143
6003,416258.28934,4485586.04934
6004,411456,4553203
6005,411465,4554012
6006,412458,4513818
6007,409155,4492621
6008,409222.98244,4493563.83655
6009,409247.51191,4494373.30916
6010,409268.77303,4495138.13927
6011,409677.37827,4495879.12848
6012,409737.30979,4497084.20865
6013,409787.5877,4497581.40131
6014,410010.72614,4498375.74606
6015,411484,4555629
6016,425625,4490158
6017,408043,4500777
6018,407571.84745,4502381.50857
6019,407592.53917,4504620.82857
6020,425604.43836,4491757.67476
6021,425601.67681,4492580.61761
6022,409607.27751,4493563.83655
6023,408311.35434,4489392.56387
6024,413139,4513806
6025,413142,4510415
6026,413085,4510414
6027,413843,4513799
6028,404346,4508720
6029,407839,4508668
6030,407839,4508819
6031,407628,4509140
6032,413880,4513891
6033,413246,4513883
6034,407348,4509798
6035,406925,4510179
6036,413096.92002,4513904.87892
6037,412911,4507161
6038,424681,4503388
6039,420150,4483755
6040,406925,4511236
6041,402506,4510665
6042,404367,4510644
6043,404964,4510647
6044,406502,4512357
6045,406504,4508678
6046,410204,4508711
6047,407834,4508462
6048,423819,4553292
6049,412486.65599,4513922.19137
6050,412239,4513905
6051,413231,4513923
6052,412501.80439,4513948.16005
6053,402748,4509108
6054,402005.94423,4509662.83906
6055,424895,4500557
6056,406457.88238,4505190.64704
6057,406547.41145,4505031.07258
6058,406607.94631,4504877.40718
6059,406584.66367,4504584.04597
6060,412959,4507160
6061,406561.38104,4504360.53266
6062,406621.91589,4504197.5542
6063,406687.10727,4504029.91922
6064,407301.76887000003,4502395.47815
6065,425550,4493410
6066,415379,4502302
6067,408892.08942,4500520.96429
6068,412207.49266,4514028.23016
6069,412159.88341,4513952.48817
6070,412220.477,4513982.78496
6071,409217.53033,4500018.5292
6072,407581,4498262
6073,407602,4497535
6074,407595,4497333
6075,407365,4497059
6076,407079.9212,4496561.28454
6077,408029.19682,4496772.74998
6078,407043,4495373
6079,407033,4495200
6080,406997,4495013
6081,407098,4494638
6082,406451.152,4493874.54321
6083,406475.68148,4493522.9541
6084,411214.9035,4490107.75305
6085,410821,4489677
6086,423995,4484676
6087,412261.59408,4513948.16005
6088,413906,4554791
6089,411497.40281,4556433.79783
6090,411509.53349,4557243.52085
6091,411521,4557926
6092,411528,4559287
6093,407356.34068,4487428.20884
6094,407901.72926,4487984.85148
6095,412435,4564660
6096,413243,4557006
6097,411715,4494738
6098,407854,4491159
6099,408123.48625,4489392.56387
6100,413333,4495327
6101,413073,4495115
6102,414949,4494307
6103,407624.70649,4488562.27082
6104,407339.02675,4488233.30628
6105,412343,4492320
6106,412809,4489748
6107,415895.10024,4481538.00689
6108,415517.32896,4481666.79256
6109,415128.48989,4481370.55075
6110,414577.59085,4481385.87046
6111,415740.28946,4482735.77581
6112,415561.04028,4482665.30673
6113,415306.86575,4482539.69252
6114,414936.82642,4482369.13618
6115,412665,4489632
6116,414749.13632,4482514.5815
6117,413404.03424,4488776.79455
6118,419653,4478938
6119,419639,4478930
6120,412873,4487123
6121,412088.11903,4486609.53573
6122,414836.75989,4483732.52947
6123,418290,4508880
6124,418291,4508861
6125,419092,4479729
6126,413053,4489022
6127,418131,4480213
6128,411100.80751,4486598.97799
6129,409611,4513761
6130,409622,4507931
6131,425500.10832,4494038.27888
6132,425706.57971,4495374.74836
6133,421092,4508592
6134,406443.7193,4505238.23803
6135,419958,4508565
6136,405675.00976,4508048.11501
6137,406119.01095,4507079.94458
6138,407015.89777,4505079.84661
6139,412444,4564860
6140,417273.60949,4482024.04029
6141,423346,4513306
6142,409378.58552,4499184.82476
6143,409280.61878,4498379.56312
6144,409161.90705,4497946.61446
6145,409106.31963,4497290.92067
6146,407677.62565,4493563.83655
6147,426898.33943,4482940.51893
6148,408698.16974,4487977.92591
6149,413038,4505565
6150,413099,4505565
6151,419514,4508406
6152,423339,4512710
6153,419526,4502163
6154,420491,4499618
6155,420753,4499858
6156,412877,4503954
6157,412932,4503955
6158,423248,4498654
6159,426746,4498023
6160,426928,4497972
6161,427038,4497870
6162,429456,4498477
6163,411747,4500745
6164,430497,4507119
6165,411686,4500745
6166,430532,4507193
6167,430359,4506984
6168,430341,4506984
6169,411557,4499122
6170,411615,4499121
6171,431897,4507267
6172,431892,4507225
6173,413878,4488575
6174,413625.44854,4488924.40408
6175,412460,4495885
6176,412535,4495890
6177,413668,4489291
6178,413905,4489412
6179,419515,4544947
6180,414594,4489063
6181,412893,4493532
6182,412969,4493533
6183,423594,4539485
6184,422622,4513663
6185,423359,4492057
6186,414425.94639,4489900.89792
6187,412772,4489513
6188,412822,4489541
6189,415332.67023,4485013.4781
6190,414967,4485014
6191,413528.49406,4489956.72384
6192,412000,4487151
6193,431754,4507347
6194,413222,4490119
6195,414822,4485018
6196,414066,4488718
6197,414897.41998,4486239.28754
6198,431730,4507273
6199,431714,4507324
6200,431584,4507696
6201,411096.49881,4489454.40379
6202,431998,4507182
6203,431908,4507332
6204,432029,4507235
6205,414935,4484590
6206,414878,4484590
6207,432016,4507206
6208,432191,4507154
6209,425732.36459,4495785.58748
6210,425957,4499353
6211,433315,4507145
6212,433250,4507091
6213,432251,4491507
6214,423327,4511612
6215,423687,4511610
6216,426275.43358,4496377.2832
6217,426220.7123,4496373.37454
6218,425801,4500948
6219,431581,4507325
6220,431743,4507358
6221,431694,4507633
6222,431769,4507542
6223,414044,4564832
6224,423925,4496658
6225,423440,4496489
6226,423628,4496919
6227,423421,4496395
6228,424139.86555,4495396.1436
6229,425969.5855,4495373.02937
6230,426748,4496953
6231,427087,4496816
6232,427012.39746,4494842.43027
6233,424138,4488688
6234,427019.82885,4495373.7751
6235,429435,4496974
6236,424201,4488387
6237,424458,4486750
6238,423860,4482028
6239,423675,4481769
6240,423578.82469,4481598.49222
6241,422642,4479975
6242,425206.93483,4487741.84116
6243,425347,4489350
6244,422553.69146,4479733.84271
6245,426088.0268,4487683.80693
6246,422438.74086,4479219.39166
6247,422522.24016,4478200.31465
6248,422590.5834,4478220.81156
6249,422497.15838,4479211.85391
6250,422667.69985,4479812.04681
6251,422810.80182,4480079.79009
6252,423071.91139,4480579.95451
6253,422646,4489728
6254,422325.57224,4489000.60396
6255,422153,4490972
6256,421351,4491222
6257,418102.96763,4489476.66125
6258,419623.51446,4487778.53472
6259,419974,4488585
6260,427778,4501487
6261,423361,4481091
6262,423591.07353,4481524.05699
6263,424068.77808,4482146.86312
6264,429425,4500950
6265,412549.34539,4489335.42066
6266,413386.62235,4487856.91687
6267,413052.36475,4489619.24757
6268,414096.66359,4488262.99983
6269,413301.84303,4488700.15114
6270,423436,4494061
6271,413280,4488246
6272,431750,4507621
6273,423369,4494356
6274,428065,4508100
6275,416219,4490601
6276,415723.2071,4490406.1767
6277,415359,4490633
6278,414365.64449,4490566.274
6279,416132.13037,4488677.42035
6280,415515.89769,4488934.63051
6281,415376.89242,4489063.49768
6282,415212,4489062
6283,415090.18929,4488989.69291
6284,414794.97023,4488762.60133
6285,424438.12755,4482640.58537
6286,415179,4488860
6287,424488.06511,4482777.20699
6288,418891,4563705
6289,418451,4557724
6290,418899,4563934
6291,422137.5583,4541688.67788
6292,418908,4564400
6293,418919.52499,4564626.57293
6294,418926.43403,4564856.87452
6295,417679,4562314
6296,417738,4562560
6297,414256,4557021
6298,422229.07687,4541590.52048
6299,412637,4489852
6300,420349,4540153
6301,421092.19761,4542912.93918
6302,414205,4556988
6303,418277.7663,4576453.703
6304,417573,4555781
6305,422019.48067,4541444.85524
6306,419406.77002,4575955.13291
6307,420209,4549814
6308,419770.84106,4557757.96185
6309,419017,4543466
6310,419830,4543434
6311,418134,4545642
6312,415485,4560444
6313,420180,4543430
6314,421789,4542091
6315,420378,4543426
6316,421611,4541076
6317,420648,4543420
6318,415273.68189,4559712.44672
6319,421111,4543411
6320,421353,4543405
6321,419096,4574748
6322,414623,4552956
6323,422360,4543388
6324,420728.26804,4575144.86843
6325,424406.94565,4511364.00629
6326,414492,4558201
6327,420626,4499803
6328,421346,4543680
6329,420650,4543749
6330,414564.92751,4545219.55948
6331,415877,4561963
6332,417006,4547010
6333,415399.73279,4546747.21034
6334,413787.63389,4546748.74969
6335,407734.79345,4504325.45145
6336,412174.5264,4547022.48055
6337,419449,4544842
6338,418706,4556064
6339,419140.15631,4545407.00963
6340,415676,4550839
6341,413767.92798,4545942.84872
6342,412547,4545963
6343,415639,4563425
6344,413816,4548663
6345,410099.29119,4547401.40714
6346,412193,4548574
6347,415382,4545922
6348,415904,4550573
6349,416990,4545905
6350,417792,4545898
6351,418033,4545898
6352,417140,4545906
6353,418680,4545887
6354,417118,4546573
6355,418810,4545885
6356,416737,4549073
6357,418681,4546106
6358,416600,4549289
6359,419114,4547047
6360,419327.51643,4545433.1529
6361,419251,4545878
6362,419536,4545871
6363,419357,4545000
6364,419527.94818,4545437.51011
6365,420569,4546028
6366,421537,4546124
6367,419567,4547175
6368,420168,4546668
6369,410566,4547594
6370,412181,4547575
6371,423675.88196,4546504.02337
6372,410711,4557473
6373,413790,4547555
6374,424503.3773,4482812.1079
6375,419031.22601,4545393.93799
6376,411182,4547585
6377,415406,4547532
6378,418255.82239,4573155.65748
6379,417768,4547292
6380,417014,4547517
6381,417603,4547508
6382,417019,4548040
6383,416362,4548567
6384,418217,4547502
6385,417883,4547374
6386,419553,4546553
6387,418016,4547470
6388,418226,4548389
6389,416955.95672,4573234.13994
6390,416973.23179,4544414.36206
6391,418620,4547501
6392,419465,4547480
6393,419416,4547482
6394,418416,4558354
6395,420180.81159,4547440.81119
6396,416817,4500700
6397,418741,4542260
6398,419159.57695,4541597.63795
6399,420466,4540196
6400,420620,4499843
6401,420929.1794,4540193.53901
6402,420900.04336,4540572.30753
6403,420214.71637,4575714.77363
6404,414578.43447,4545932.70553
6405,421187.96586,4540703.57966
6406,423476.17518,4543789.07413
6407,423246,4540476
6408,423318,4546505
6409,423422.57291,4549382.18872
6410,423633.76344,4549378.39488
6411,409779.59782,4548434.45779
6412,406542.55125,4549262.03172
6413,410582.71097,4549200.27466
6414,410600,4549939
6415,417230,4547203
6416,423591,4543784
6417,411365,4549199
6418,412206.04726,4549177.87934
6419,412213,4549840
6420,413814,4549163
6421,418019.85402,4542978.74177
6422,414558,4549161
6423,415431,4549139
6424,413851.5726,4551573.26821
6425,415921,4549136
6426,415439,4549796
6427,415203,4550114
6428,416591,4549134
6429,415441,4550233
6430,416275,4549133
6431,423056.40175,4543721.36874
6432,416917,4549128
6433,418241,4549115
6434,418244,4549564
6435,419074,4541685
6436,420538.3176,4539569.02567
6437,420203,4549059
6438,417007.87186,4546704.60531
6439,419425,4547577
6440,419424.34057,4549090.19298
6441,420663,4549054
6442,421271,4545160
6443,414741.5001,4550749.93721
6444,421869,4549045
6445,414079.20746,4551571.18935
6446,413808.5526,4550795.84436
6447,413881.71603,4551898.60936
6448,420188.14063,4548663.60252
6449,418585.87091,4576325.72108
6450,417333.62095,4576526.45393
6451,416260.79962,4576546.87754
6452,412238.52445,4551564.9356
6453,415451,4550737
6454,413144.63677,4551552.61556
6455,415592,4550738
6456,416572,4486190
6457,415817,4550736
6458,423622.56756,4546501.59999
6459,415904,4550733
6460,424519,4483441
6461,418999,4550694
6462,413285.99799,4551500.78032
6463,418259,4550695
6464,419398,4550686
6465,420226,4550571
6466,420289,4544501
6467,406600,4552445
6468,406593,4551665
6469,420493,4543796
6470,420864.81246,4543683.97364
6471,421138,4550407
6472,423395.82033,4547742.31883
6473,423559.38916,4547742.31883
6474,422853,4551037
6475,423546,4551112
6476,423669,4551086
6477,414022,4554784
6478,414588.86301,4546773.94113
6479,415755.57671,4576542.61669
6480,414906.76951,4576203.7648
6481,409897,4552426
6482,405776.75511,4555893.2586
6483,410618.97096,4551580.47216
6484,411441,4552403
6485,410632,4552412
6486,421151,4556354
6487,410643,4553220
